;buyer;count;;
510;MAXI ICA STORMARKNAD HOGS,VASTRA FROLUN,SE;46;;
511;9023.94.307.61;46;;
512;IKANO BANK AB - PREEM;46;;
513;MAT;46;;
514;CORONA TEST;46;;
515;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;46;;
516;KRY.SE,STOCKHOLM,SE;45;;
517;9025.19.457.76;45;;
518;Avbetalning bil Fredrik;45;;
519;9023.78.887.28;45;;
520;SwishPaymentMessage;45;;
521;Spotify P10409D9E4,Stockholm,SE;45;;
522;SwishPaymentMessage;45;;
523;Mat virserum;45;;
524;MCDONALDS FROLU,VASTRA FROLUN,SE;45;;
525;STORA COOP SISJON,ASKIM,SE; St. Georges Mental Health NHS Trust;45;
526;TILL G & F;44;;
527;SwishPaymentMessage;44;;
528;Fredrik Moberg;44;;
529;Fredrik Moberg;44;;
530;Fredrik Moberg;44;;
531;Fredrik Moberg;44;;
532;WILLYS SISJON,ASKIM,SE;44;;
533;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;44;;
534;Fredrik Moberg;44;;
535;APOTEK HJARTAT ICA MAXI H,VASTRA FROLUN,SE;43;;
536;STORA COOP SISJON,ASKIM,SE;43;;
537;Compeed igen;43;;
538;Compeed;43;;
539;PLANTAGEN ASKIM,ASKIM,SE;43;;
540;SOTA BAR SWEDEN AB,KUNGALV,SE;43;;
541;STORA COOP SISJON,ASKIM,SE;43;;
542;Fredrik Moberg;43;;
543;SYSTEMBOLAGET ASKIM,ASKIM,SE;42;;
